Type,SKU,Name,Published,Short_Description,Description,Tax_status,Regular_Price,Sale_Price,Categories,Images,wcpv_product_vendors
simple,JW-309-AA,Travel Set,1,"<p>Exclusively for JW Marriott by Aromatherapy Associates</p>
<p>Features notes of ylang ylang, rosemary, geranium, patchouli, tuberose, lavender and vanilla.</p>
<p>Set Includes:</p>
<ul class=""list"">
<li>1 Ylang Ylang Shampoo (2.7 oz.)</li>
<li>1 Ylang Ylang Conditioner (2.7 oz.)</li>
<li>1 Ylang Ylang Body Lotion (2.7 oz.)</li>
<li>1 Ylang Ylang Body Wash (2.7 oz.)</li>
</ul>","<headline>Nourish your body wherever your travels take you.</headline><details>Awaken your hair, body and mind. Our travel size bottles deliver enriching notes of ylang ylang, rosemary, geranium, patchouli, tuberose, lavender and vanilla, as you bring them along on every experience.</details>",taxable,38,28.5,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-aromatherapy-associates-travel-set-jw-309-aa_lrg.jpg,JW
simple,JW-310-PT-WL,Pool Towel,1,"<p>A JW Marriott Hotels Exclusive</p>
<p>100% ring-spun cotton</p>
<p>White with grey crisscross design</p>
<p>Grey embroidered Griffin</p>
<p>Machine washable</p>
<p>30"" x 60""</p>","<headline>Bring this signature essential with you after taking a dip.</headline><details>Indulge poolside or beachside with the JW Marriott pool towel. A classic hotel essential designed with grey crisscross trim, plus our signature Griffin on one end.</details>",taxable,49,36.75,Towels                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-pool-towel-jw-310-pt-wl_lrg.jpg,JW
simple,JW-403-DWS-NL,Waffle Bathrobe,1,"<p>100% combed cotton</p>
<p>Diamond waffle pattern</p>
<p>Shawl collar</p>
<p>Self-tie belt</p>
<p>Two side patch pockets</p>
<p>Machine washable</p>
<p>54"" long</p>
<p>63"" sweep</p>
<p>23"" sleeve</p>
<p>One size fits most</p>
","<headline>Moments of absolute relaxation in the comfort of your home.</headline><details>Wrap yourself in zen with the JW Marriott Waffle Bathrobe. This robe pairs the light-as-air fabric of a waffle robe with the soft caress of a full shawl collar, an extra relaxing combination.</details>",taxable,115,86.25,Robes                         ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-waffle-bathrobe-jw-403-dws-nl_lrg.jpg,JW
simple,JW-600-01-01-01-10,Subtle Sophistication Candle,1,"<p>A JW Marriott Exclusive</p>
<p>Signature Subtle Sophistication scent</p>
<p>Unique blend of citrus, sweet cyclamen and creamy amber notes</p>
<p>Glass container</p>
<p>Packaged in a gift box</p>
<p>9.80 oz.</p>",<headline>Release our signature scent of herbal and citrus notes at home.</headline><details>JW Marriott's exclusive Subtle Sophistication Candle is a necessary indulgence. It features effervescent citrus top notes and an aromatic blend of sweet cyclamen infused with a finishing touch of amber.</details>,taxable,59,44.25,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-subtle-sophistication-candle-jw-600-01-01-01-10_lrg.jpg,JW
simple,JW-600-01-SPA-WL-11,SPA by JW Candle,1,"<p>A JW Marriott Exclusive</p><p>Signature SPA by JW scent</p><p>Notes of grapefruit, cucumber, flower petals and musk</p><p>Soy wax blend</p><p>100% cotton wick</p><p>Glossy black vessel with printed silver logo on one side</p><p>Packaged in a circular matte black gift box</p><p>80 hour approximate burn time</p><p>10.5 oz.</p><p>Made in the USA</p>","<headline>Experience the lavish aromas of our spa at your leisure.</headline><details>Transport yourself daily with the SPA by JW candle. This signature scent exudes a lavish blend of sparkling grapefruit and crisp cucumbers immersed in an effervescent tonic of flower petals and a blanket of velvety musk. A JW Marriott exclusive, its glossy black glass vessel with a 100% cotton wick is presented in a unique and sophisticated circular matte black gift box.</details>",taxable,59,44.25,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-SPA-by-JW-Candle-JW-600-01-SPA-WL-11_lrg.jpg,JW
simple,JW-605-02-02-BK-WL-3,SPA by JW Room Spray,1,"<p>A JW Marriott Exclusive</p>
<p>Signature SPA by JW scent</p>
<p>Notes of grapefruit, cucumber, flower petals and musk</p>
<p>Matte black bottle with silver cap</p>
<p>Printed silver logo on one side</p>
<p>3.4 oz.</p>","<headline>Bask in our signature aroma of crisp citrus, fresh florals and velvety musk.</headline>
<details>The SPA by JW room spray will keep your home smelling fresh while evoking the signature scent of our namesake spas. This intoxicating aroma is a lavish blend of sparkling grapefruit and crisp cucumbers immersed in an effervescent tonic of flower petals and a blanket of velvety musk. A JW Marriott exclusive, our room spray is packaged in a sleek, matte black bottle to add to your home’s chic decor.</details>",taxable,54,40.5,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-spa-by-jw-room-spray-JW-605-02-02-BK-WL-3_lrg.jpg,JW
simple,JW-606-01-SPA-WL-3,SPA by JW Reed Diffuser,1,"<p>A JW Marriott Exclusive</p>
<p>Signature SPA by JW scent</p>
<p>Notes of grapefruit, cucumber, flower petals and musk</p>
<p>Includes black reeds</p>
<p>Matte black and silver vessel with printed silver logo on one side</p>
<p>Packaged in a circular matte black gift box</p>
<p>Scent last approximately two months</p>
<p>3 oz.</p>
<p>Made in the USA</p>
","<headline>Immerse your space with the signature scent of the SPA by JW.</headline><details>Evoke the relaxing experience of our namesake spas through our signature scent in the SPA by JW reed diffuser. Exuding a lavish blend of sparkling grapefruit and crisp cucumbers, it is also immersed in an effervescent tonic of flower petals and a blanket of velvety musk. This exclusive JW Marriott reed diffuser features a matte black glass vessel with fragrance oil and black reeds, presented in a unique and sophisticated circular matte black gift box.</details>",taxable,59,44.25,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-SPA-by-JW-Reed-Diffuser-JW-606-01-SPA-WL-3_lrg.jpg,JW
simple,JW-610-SPA,SPA by JW Room Diffuser,1,"<p>A JW Marriott Exclusive</p>
<p>Signature SPA by JW scent</p>
<p>Notes of grapefruit, cucumber, flower petals and musk</p>
<p>Includes one room diffuser and signature Spa by JW Scent cartridge</p>
<p>Innovative dry air technology</p>
<p>Scent diffuser cartridge lasts approximately 400 hours</p>
<p>Freshens approximately 800 square feet</p>
<p>Scent intensity selector on back panel</p>
<p>Comes with 110V AC adapter </p>
<p>6.5"" x 6.3"" x 7.25"" high</p>","<headline>Bathe your home in fresh florals and long-lasting musk.</headline><details>Fill your home with the lavish blend of sparkling grapefruit and crisp cucumbers immersed in an effervescent tonic of flower petals and a blanket of velvety musk, with the SPA by JW Room Diffuser. Created for a minimalist look, this easy-to-use machine has innovative dry air technology and scent-intensity controls to gently diffuse and leave your home evoking the peacefulness of a SPA by JW.</details>",taxable,169.95,127.46,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-SPA-by-JW-Room-Diffuser-JW-610-SPA_lrg.jpg,JW
simple,JW-610-SS,Subtle Sophistication Room Diffuser,1,"<p>A JW Marriott Exclusive</p><p>Signature Subtle Sophistication scent</p><p>Unique blend of citrus, sweet cyclamen and creamy amber notes</p><p>Includes one room diffuser and signature Subtle Sophistication scent cartridge</p><p>Innovative dry air technology</p><p>Scent diffuser cartridge lasts approximately 300 hours</p><p>Freshens approximately 800 square feet</p><p>Scent intensity selector on back panel</p><p>Comes with 110V AC adapter</p><p>6.5"" x 6.3"" x 7.25"" high</p>","<headline>Enrich your rooms with sweet citrus notes and earthy amber. </headline><details>Bring home the JW Marriott Room Diffuser to create a spa-like experience, any time you want. Designed with a minimalist look, innovative dry air technology, and scent-intensity control, this easy-to-use fragrance system refreshes any room in your home. It comes with one scent cartridge of Subtle Sophistication, our signature hotel scent that combines sweet cyclamen and citrus notes with earthy amber.</details>",taxable,169.95,127.46,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-subtle-sophistication-room-diffuser-jw-610-ss_lrg.jpg,JW
simple,JW-611-SPA,SPA by JW Room Diffuser Refill,1,"<p>A JW Marriott Exclusive</p>
<p>Signature SPA by JW scent</p>
<p>Notes of grapefruit, cucumber, flower petals and musk</p>
<p>Scent diffuser cartridge lasts approximately 400 hours</p>
<p>Freshens approximately 800 square feet</p>
<p>Requires one room diffuser machine sold separately</p>","<headline>Subscribe to replenish our bespoke scent each and every month.</headline><details>Couple the SPA by JW signature scent with your JW Marriott Room Diffuser to fill your home with hints of grapefruit, lush flower petals, fresh cucumber and musk. The scent cartridge will last and enrich your space for up to 400 hours to recharge your senses and your home.</details>",taxable,69.95,52.46,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-SPA-by-JW-Diffuser-Refill-JW-611-SPA_lrg.jpg,JW
simple,JW-611-SS,Subtle Sophistication Room Diffuser Refill,1,"<p>A JW Marriott Exclusive</p><p>Signature Subtle Sophistication scent</p><p>Unique blend of citrus, sweet cyclamen and creamy amber notes</p><p>Scent diffuser cartridge lasts approximately 300 hours</p><p>Freshens approximately 800 square feet</p><p>Requires one room diffuser machine sold separately</p>","<headline>Come home to a fresh and luxurious sanctuary of aromatic inspiration.</headline><details>Pair our signature Subtle Sophistication Room Diffuser Refill with your JW Marriott Room Diffuser to create a series of soothing moments. This aromatic blend features notes of sweet cyclamen, a citrus medley, and a touch of warm amber to revive your senses and recharge your space.</details>",taxable,69.95,52.46,Fragrance                     ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-subtle-sophistication-diffuser-refill-jw-611-ss_lrg.jpg,JW
